Project Name,Project Description,Property Number,Property,Property Size,Price
Sumben,Low density (2000 sqm) residential Stands in Mt Pleasant,751,,2046,149358
Sumben,Low density (2000 sqm) residential Stands in Mt Pleasant,752,,2000,146000
Sumben,Low density (2000 sqm) residential Stands in Mt Pleasant,753,,2000,146000
Sumben,Low density (2000 sqm) residential Stands in Mt Pleasant,754,,2000,146000
Sumben,Low density (2000 sqm) residential Stands in Mt Pleasant,755,,2000,146000
Sumben,Low density (2000 sqm) residential Stands in Mt Pleasant,756,,2000,146000
Sumben,Low density (2000 sqm) residential Stands in Mt Pleasant,757,,2000,146000
Sumben,Low density (2000 sqm) residential Stands in Mt Pleasant,758,,2000,146000
Sumben,Low density (2000 sqm) residential Stands in Mt Pleasant,759,,2000,146000
Sumben,Low density (2000 sqm) residential Stands in Mt Pleasant,760,,2000,146000
Sumben,Low density (2000 sqm) residential Stands in Mt Pleasant,761,,2000,146000
Sumben,Low density (2000 sqm) residential Stands in Mt Pleasant,762,,2000,146000
Sumben,Low density (2000 sqm) residential Stands in Mt Pleasant,763,,2000,146000
Sumben,Low density (2000 sqm) residential Stands in Mt Pleasant,764,,2000,146000
Sumben,Low density (2000 sqm) residential Stands in Mt Pleasant,765,,2000,146000
Sumben,Low density (2000 sqm) residential Stands in Mt Pleasant,766,,2000,146000
Sumben,Low density (2000 sqm) residential Stands in Mt Pleasant,767,,2000,146000
Sumben,Low density (2000 sqm) residential Stands in Mt Pleasant,768,,2000,146000
Sumben,Low density (2000 sqm) residential Stands in Mt Pleasant,769,,2000,146000
Sumben,Low density (2000 sqm) residential Stands in Mt Pleasant,770,,2000,146000
Sumben,Low density (2000 sqm) residential Stands in Mt Pleasant,771,,2330,170090
Sumben,Low density (2000 sqm) residential Stands in Mt Pleasant,772,,2430,177390
Sumben,Low density (2000 sqm) residential Stands in Mt Pleasant,773,,2010,146730
Sumben,Low density (2000 sqm) residential Stands in Mt Pleasant,774,,2010,146730
Sumben,Low density (2000 sqm) residential Stands in Mt Pleasant,775,,2010,146730
Sumben,Low density (2000 sqm) residential Stands in Mt Pleasant,776,,2010,146730
Sumben,Low density (2000 sqm) residential Stands in Mt Pleasant,777,,2010,146730
Sumben,Low density (2000 sqm) residential Stands in Mt Pleasant,778,,2010,146730
Sumben,Low density (2000 sqm) residential Stands in Mt Pleasant,779,,2010,146730
Sumben,Low density (2000 sqm) residential Stands in Mt Pleasant,780,,2010,146730
Sumben,Low density (2000 sqm) residential Stands in Mt Pleasant,781,,3314,241922
